,lat,long,max_temp,humidity,wind_speed,clouds,country,dt,is_south
mount isa,-20.7333,139.5,74.97,53,0.0,75,Australia,1635184969,1
nikolskoye,59.7035,30.7861,47.88,83,3.25598404,100,Russian Federation,1635184969,0
khao yoi,13.2403,99.8243,74.91,91,1.33594765,62,Thailand,1635184969,0
barcelona,41.3888,2.159,67.84,82,0.27961695000000003,20,Spain,1635184812,0
shimoda,34.6667,138.95,56.1,89,7.84170202,100,Japan,1635184970,0
taltal,-25.4,-70.4833,62.82,70,1.09361296,29,Chile,1635184970,1
shieli,44.1667,66.75,53.42,31,2.5786896500000003,1,Kazakhstan,1635184970,0
mulege,26.8833,-111.9833,84.99,35,1.3110928099999999,0,Mexico,1635184971,0
bhiwani,28.7833,76.1333,72.27,51,1.77712106,0,India,1635184971,0
teya,60.3778,92.6267,34.27,95,3.0695727400000004,100,Russian Federation,1635184872,0
hasaki,35.7333,140.8333,59.4,88,7.10848424,100,Japan,1635184971,0
ponta do sol,32.6667,-17.1,72.72,69,1.38565733,78,Portugal,1635184971,0
ust-nera,64.5667,143.2,5.81,99,0.77671375,100,Russian Federation,1635184972,0
fuling,29.7022,107.3919,61.66,84,0.22990727,100,China,1635184972,0
phuket,8,98.25,86.09,94,0.64001213,20,Thailand,1635184952,0
castro,-24.7911,-50.0119,69.03,65,0.88234682,89,Brazil,1635184972,1
korla,41.7597,86.1469,49.12,39,0.73943149,0,China,1635184973,0
kodinsk,58.6881,99.1844,42.75,94,4.54222201,100,Russian Federation,1635184973,0
koungou,-12.7336,45.2042,80.31,83,2.87694773,0,Mayotte,1635184973,1
airai,-8.9266,125.4092,61.2,91,0.08699194,61,Timor-Leste,1635184973,1
kaeo,-35.1,173.7833,60.33,96,0.72079036,50,New Zealand,1635184974,1
hilo,19.7297,-155.09,75.61,89,1.59692347,90,United States of America,1635184933,0
hithadhoo,-0.6,73.0833,82.85,74,3.84007278,94,Maldives,1635184974,1
coihaique,-45.5752,-72.0662,50.61,71,2.56004852,90,Chile,1635184974,1
kaitangata,-46.2817,169.8464,51.51,87,1.69634283,98,New Zealand,1635184975,1
tessalit,20.1986,1.0114,91.72,16,4.0886211800000005,77,Mali,1635184975,0
saint-joseph,-21.3667,55.6167,73.78,80,3.67230261,31,Réunion,1635184975,1
grindavik,63.8424,-22.4338,39.67,81,1.59692347,75,Iceland,1635184976,0
east london,-33.0153,27.9116,65.34,72,3.51695986,20,South Africa,1635184779,1
alice springs,-23.7,133.8833,74.75,38,1.59692347,13,Australia,1635184976,1
cherskiy,68.75,161.3,-16.4,98,0.5592339000000001,97,Russian Federation,1635184976,0
ribeira grande,38.5167,-28.7,70.2,73,3.51695986,75,Portugal,1635184785,0
dikson,73.5069,80.5464,12.92,87,5.3127220500000005,100,Russian Federation,1635184759,0
khatanga,71.9667,102.5,6.21,96,2.51033884,100,Russian Federation,1635184977,0
